feature,importance
team_a_strength,0.08499784583937127
stage_premium_score,0.08223709595581896
a_ad_exposure_m,0.08020099437972213
a_sponsor_spend_m,0.07900147164396085
event_attention_m,0.06611732625173745
commercial_momentum_score,0.05991236035287682
a_brand_heat_index,0.05180198854449869
fan_score,0.046173274215665173
a_player_fan_growth_30d_pct,0.03877398645958024
a_activation_quality,0.02896536019796333
media_exposure_index,0.027027049683167145
elo_diff,0.025161761572897293
engagement_rate,0.023255146939463046
media_reposts_k,0.022468385508090365
a_player_sentiment_score,0.018942101000595107
sponsor_team_fit_score,0.016480442498883148
a_brand_fit,0.015961722894952554
time_decay_attention,0.013990348919001418
a_core_market_value_m,0.01366823859088208
a_avg_availability_score,0.010874565938770286
fan_growth_7d_pct,0.008361652169313647
news_sentiment_score,0.006650200097152248
a_avg_injury_risk,0.006079936962964352
a_sponsor_power_index,0.006068601642335566
a_core_player_rating,0.005248640480626965
a_historical_sports_presence,0.004320988577826297
a_player_followers_m,0.0027205796863123506
weather_impact_score,0.0026557009654538722
a_paid_media_share,0.002424746757224957
text_signal_score,0.002256434086068942
host_advantage_a,0.0005596403124085587
injury_risk_score,5.034844011170343e-05
