feature,importance
elo_diff,0.2016673234306805
recent_goal_diff_delta,0.1304647067795639
a_player_followers_m,0.12489471323825752
a_core_market_value_m,0.10019393501634226
event_attention_m,0.08800627133881292
media_reposts_k,0.07396998963371598
market_value_diff_m,0.07080643349155837
stadium_capacity_k,0.07071173186265652
coach_exp_diff,0.0440284624997789
core_rating_diff,0.036002209377148923
temperature_c,0.028300382454343374
humidity,0.022788324662295828
host_advantage_a,0.022447783161869996
a_core_player_rating,0.010694579441174098
